id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
1627590,Sat Jul 24 2021 20:40:48 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:49 GMT-0600 (Mountain Daylight Time),1627590,Jerome Allen,Assistant Coach,2,1610612738,nba/coaches/1627590
2871,Sat Jul 24 2021 20:41:08 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:09 GMT-0600 (Mountain Daylight Time),2871,Dionne Calhoun,Assistant Trainer,4,1610612742,nba/coaches/2871
1628210,Sat Jul 24 2021 20:40:49 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:50 GMT-0600 (Mountain Daylight Time),1628210,Joe Mazzulla,Assistant Coach,2,1610612738,nba/coaches/1628210
1628765,Sat Jul 24 2021 20:40:50 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:51 GMT-0600 (Mountain Daylight Time),1628765,Art Horne,Trainer,3,1610612738,nba/coaches/1628765
1630018,Sat Jul 24 2021 20:41:29 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:30 GMT-0600 (Mountain Daylight Time),1630018,Eric Oetter,Trainer,3,1610612763,nba/coaches/1630018
1783,Sat Jul 24 2021 20:40:51 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:52 GMT-0600 (Mountain Daylight Time),1783,Mike D'Antoni,Assistant Coach,2,1610612751,nba/coaches/1783
2610,Sat Jul 24 2021 20:41:10 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:10 GMT-0600 (Mountain Daylight Time),2610,Michael Malone,Head Coach,1,1610612743,nba/coaches/2610
1627876,Sat Jul 24 2021 20:40:52 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:52 GMT-0600 (Mountain Daylight Time),1627876,Adam Harrington,Assistant Coach,2,1610612751,nba/coaches/1627876
1627877,Sat Jul 24 2021 20:40:53 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:53 GMT-0600 (Mountain Daylight Time),1627877,Jordan Ott,Assistant Coach,2,1610612751,nba/coaches/1627877
201765,Sat Jul 24 2021 20:41:21 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:22 GMT-0600 (Mountain Daylight Time),201765,Nate Bjorkgren,Head Coach,1,1610612754,nba/coaches/201765
201168,Sat Jul 24 2021 20:40:54 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:54 GMT-0600 (Mountain Daylight Time),201168,Tiago Splitter,Assistant Coach for Player Development,12,1610612751,nba/coaches/201168
203391,Sat Jul 24 2021 20:41:11 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:11 GMT-0600 (Mountain Daylight Time),203391,Ryan Bowen,Assistant Coach,2,1610612743,nba/coaches/203391
203550,Sat Jul 24 2021 20:40:55 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:57 GMT-0600 (Mountain Daylight Time),203550,Sebastien Poirier,Trainer,3,1610612751,nba/coaches/203550
202435,Sat Jul 24 2021 20:40:57 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:58 GMT-0600 (Mountain Daylight Time),202435,James Borrego,Head Coach,1,1610612766,nba/coaches/202435
2472,Sat Jul 24 2021 20:40:58 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:58 GMT-0600 (Mountain Daylight Time),2472,Jay Triano,Assistant Coach,2,1610612766,nba/coaches/2472
203759,Sat Jul 24 2021 20:41:12 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:12 GMT-0600 (Mountain Daylight Time),203759,Jordi Fernandez,Assistant Coach,2,1610612743,nba/coaches/203759
101278,Sat Jul 24 2021 20:40:59 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:40:59 GMT-0600 (Mountain Daylight Time),101278,Joe Sharpe,Trainer,3,1610612766,nba/coaches/101278
1627310,Sat Jul 24 2021 20:40:59 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:00 GMT-0600 (Mountain Daylight Time),1627310,Billy Donovan,Head Coach,1,1610612741,nba/coaches/1627310
1627604,Sat Jul 24 2021 20:41:00 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:01 GMT-0600 (Mountain Daylight Time),1627604,Chris Fleming,Assistant Coach,2,1610612741,nba/coaches/1627604
1018,Sat Jul 24 2021 20:41:12 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:13 GMT-0600 (Mountain Daylight Time),1018,Wes Unseld,Head Coach,1,1610612764,nba/coaches/1018
2511,Sat Jul 24 2021 20:41:01 GMT-0600 (Mountain Daylight Time),Sat Jul 24 2021 20:41:02 GMT-0600 (Mountain Daylight Time),2511,Mike Wilhelm,Assistant Coach,2,1610612741,nba/coaches/2511
