id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
1629684,Mon Aug 09 2021 04:11:33 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:59 GMT-0600 (Mountain Daylight Time),1629684,Grant Williams,grant-williams,6-6,236,12,F,1610612738,nba/players/1629684
1628400,Mon Aug 09 2021 04:11:34 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:03 GMT-0600 (Mountain Daylight Time),1628400,Semi Ojeleye,semi-ojeleye,6-6,240,37,F,1610612738,nba/players/1628400
1629682,Mon Aug 09 2021 04:11:36 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:08 GMT-0600 (Mountain Daylight Time),1629682,Tremont Waters,tremont-waters,5-10,175,51,G,1610612738,nba/players/1629682
1629605,Mon Aug 09 2021 04:11:37 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:10 GMT-0600 (Mountain Daylight Time),1629605,Tacko Fall,tacko-fall,7-5,311,99,C,1610612738,nba/players/1629605
201933,Mon Aug 09 2021 04:11:38 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:23 GMT-0600 (Mountain Daylight Time),201933,Blake Griffin,blake-griffin,6-9,250,2,F,1610612751,nba/players/201933
202681,Mon Aug 09 2021 04:11:39 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:30 GMT-0600 (Mountain Daylight Time),202681,Kyrie Irving,kyrie-irving,6-2,195,11,G,1610612751,nba/players/202681
201935,Mon Aug 09 2021 04:11:40 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:31 GMT-0600 (Mountain Daylight Time),201935,James Harden,james-harden,6-5,220,13,G,1610612751,nba/players/201935
1628970,Mon Aug 09 2021 04:11:42 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:52 GMT-0600 (Mountain Daylight Time),1628970,Miles Bridges,miles-bridges,6-6,225,0,F,1610612766,nba/players/1628970
1628370,Mon Aug 09 2021 04:11:44 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:53 GMT-0600 (Mountain Daylight Time),1628370,Malik Monk,malik-monk,6-3,200,1,G,1610612766,nba/players/1628370
1628984,Mon Aug 09 2021 04:11:45 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:56 GMT-0600 (Mountain Daylight Time),1628984,Devonte' Graham,devonte-graham,6-1,195,4,G,1610612766,nba/players/1628984
202954,Mon Aug 09 2021 04:11:46 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:59 GMT-0600 (Mountain Daylight Time),202954,Brad Wanamaker,brad-wanamaker,6-3,210,9,G,1610612766,nba/players/202954
1628998,Mon Aug 09 2021 04:11:47 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:01 GMT-0600 (Mountain Daylight Time),1628998,Cody Martin,cody-martin,6-5,205,11,F,1610612766,nba/players/1628998
202330,Mon Aug 09 2021 04:11:48 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:03 GMT-0600 (Mountain Daylight Time),202330,Gordon Hayward,gordon-hayward,6-7,225,20,F,1610612766,nba/players/202330
1629023,Mon Aug 09 2021 04:11:50 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:05 GMT-0600 (Mountain Daylight Time),1629023,P.J. Washington,pj-washington,6-7,230,25,F,1610612766,nba/players/1629023
1629632,Mon Aug 09 2021 04:11:52 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:16 GMT-0600 (Mountain Daylight Time),1629632,Coby White,coby-white,6-5,195,0,G,1610612741,nba/players/1629632
1629750,Mon Aug 09 2021 04:11:52 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:23 GMT-0600 (Mountain Daylight Time),1629750,Javonte Green,javonte-green,6-4,205,11,G-F,1610612741,nba/players/1629750
1628464,Mon Aug 09 2021 04:11:54 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:27 GMT-0600 (Mountain Daylight Time),1628464,Daniel Theis,daniel-theis,6-8,245,27,F-C,1610612741,nba/players/1628464
203107,Mon Aug 09 2021 04:12:14 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:28 GMT-0600 (Mountain Daylight Time),203107,Tomas Satoransky,tomas-satoransky,6-7,210,31,G,1610612741,nba/players/203107
1629685,Mon Aug 09 2021 04:11:56 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:47 GMT-0600 (Mountain Daylight Time),1629685,Dylan Windler,dylan-windler,6-6,196,9,G-F,1610612739,nba/players/1629685
1626224,Mon Aug 09 2021 04:12:17 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:50 GMT-0600 (Mountain Daylight Time),1626224,Cedi Osman,cedi-osman,6-7,230,16,F,1610612739,nba/players/1626224
