id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
2384,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),2384,Melvin Hunt,Assistant Coach,2,1610612737,nba/coaches/2384
1628770,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1628770,Matt Hill,Assistant Coach,2,1610612737,nba/coaches/1628770
1628764,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1628764,Scottie Parker,Trainer,3,1610612737,nba/coaches/1628764
1630017,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1630017,John Dusel,Assistant Trainer,4,1610612737,nba/coaches/1630017
1628210,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1628210,Joe Mazzulla,Assistant Coach,2,1610612738,nba/coaches/1628210
1627590,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1627590,Jerome Allen,Assistant Coach,2,1610612738,nba/coaches/1627590
1628765,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1628765,Art Horne,Trainer,3,1610612738,nba/coaches/1628765
1783,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1783,Mike D'Antoni,Assistant Coach,2,1610612751,nba/coaches/1783
1627876,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1627876,Adam Harrington,Assistant Coach,2,1610612751,nba/coaches/1627876
1627877,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1627877,Jordan Ott,Assistant Coach,2,1610612751,nba/coaches/1627877
201168,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),201168,Tiago Splitter,Assistant Coach for Player Development,12,1610612751,nba/coaches/201168
203550,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),203550,Sebastien Poirier,Trainer,3,1610612751,nba/coaches/203550
202435,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),202435,James Borrego,Head Coach,1,1610612766,nba/coaches/202435
2472,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),2472,Jay Triano,Assistant Coach,2,1610612766,nba/coaches/2472
101278,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),101278,Joe Sharpe,Trainer,3,1610612766,nba/coaches/101278
1627310,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),1627310,Billy Donovan,Head Coach,1,1610612741,nba/coaches/1627310
2394,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),2394,Pete Myers,Assistant Coach,2,1610612741,nba/coaches/2394
2511,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),2511,Mike Wilhelm,Assistant Coach,2,1610612741,nba/coaches/2511
204239,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),204239,Jarron Collins,Assistant Coach,2,1610612744,nba/coaches/204239
202743,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),202743,John Bryant,Assistant Coach,2,1610612741,nba/coaches/202743
1627604,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),1627604,Chris Fleming,Assistant Coach,2,1610612741,nba/coaches/1627604
2794,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),2794,JB Bickerstaff,Head Coach,1,1610612739,nba/coaches/2794
204238,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),204238,Antonio Lang,Assistant Coach,2,1610612739,nba/coaches/204238
202565,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),202565,Mike Gerrity,Assistant Coach,2,1610612739,nba/coaches/202565
1629710,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1629710,Lindsay Gottlieb,Assistant Coach,2,1610612739,nba/coaches/1629710
203811,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),203811,Greg Buckner,Assistant Coach,2,1610612739,nba/coaches/203811
1628785,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1628785,Zach Guthrie,Assistant Coach,2,1610612742,nba/coaches/1628785
2868,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),2868,Casey Smith,Trainer,3,1610612742,nba/coaches/2868
2871,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),2871,Dionne Calhoun,Assistant Trainer,4,1610612742,nba/coaches/2871
201765,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),201765,Nate Bjorkgren,Head Coach,1,1610612754,nba/coaches/201765
2610,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),2610,Michael Malone,Head Coach,1,1610612743,nba/coaches/2610
203165,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203165,Bob Weiss,Assistant Coach,2,1610612743,nba/coaches/203165
203391,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203391,Ryan Bowen,Assistant Coach,2,1610612743,nba/coaches/203391
203759,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203759,Jordi Fernandez,Assistant Coach,2,1610612743,nba/coaches/203759
203600,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203600,David Adelman,Assistant Coach,2,1610612743,nba/coaches/203600
1335,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1335,Dwane Casey,Head Coach,1,1610612765,nba/coaches/1335
1336,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1336,Tim Grgurich,Assistant Coach,2,1610612765,nba/coaches/1336
204230,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),204230,Tim Hardaway,Assistant Coach,2,1610612765,nba/coaches/204230
201678,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),201678,Jim Scholler,Trainer,3,1610612765,nba/coaches/201678
1796,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1796,Ron Adams,Assistant Coach,2,1610612744,nba/coaches/1796
204260,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),204260,Bruce Fraser,Assistant Coach,2,1610612744,nba/coaches/204260
1786,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1786,John Lucas,Assistant Coach,2,1610612745,nba/coaches/1786
1630277,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1630277,Rick Higgins,Assistant Coach,2,1610612745,nba/coaches/1630277
1257,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1257,Keith Jones,Trainer,3,1610612745,nba/coaches/1257
203785,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),203785,Greg Foster,Assistant Coach,2,1610612754,nba/coaches/203785
