id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
1628770,Mon Aug 09 2021 04:50:00 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:42 GMT-0600 (Mountain Daylight Time),1628770,Matt Hill,Assistant Coach,2,1610612737,nba/coaches/1628770
2384,Mon Aug 09 2021 04:49:56 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:43 GMT-0600 (Mountain Daylight Time),2384,Melvin Hunt,Assistant Coach,2,1610612737,nba/coaches/2384
1628764,Mon Aug 09 2021 04:50:02 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:46 GMT-0600 (Mountain Daylight Time),1628764,Scottie Parker,Trainer,3,1610612737,nba/coaches/1628764
1630017,Mon Aug 09 2021 04:49:52 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:47 GMT-0600 (Mountain Daylight Time),1630017,John Dusel,Assistant Trainer,4,1610612737,nba/coaches/1630017
1628210,Mon Aug 09 2021 04:49:06 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:14 GMT-0600 (Mountain Daylight Time),1628210,Joe Mazzulla,Assistant Coach,2,1610612738,nba/coaches/1628210
1627590,Mon Aug 09 2021 04:49:03 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:16 GMT-0600 (Mountain Daylight Time),1627590,Jerome Allen,Assistant Coach,2,1610612738,nba/coaches/1627590
1628765,Mon Aug 09 2021 04:49:07 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:17 GMT-0600 (Mountain Daylight Time),1628765,Art Horne,Trainer,3,1610612738,nba/coaches/1628765
1627877,Mon Aug 09 2021 04:49:11 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:40 GMT-0600 (Mountain Daylight Time),1627877,Jordan Ott,Assistant Coach,2,1610612751,nba/coaches/1627877
1783,Mon Aug 09 2021 04:49:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:42 GMT-0600 (Mountain Daylight Time),1783,Mike D'Antoni,Assistant Coach,2,1610612751,nba/coaches/1783
1627876,Mon Aug 09 2021 04:49:10 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:44 GMT-0600 (Mountain Daylight Time),1627876,Adam Harrington,Assistant Coach,2,1610612751,nba/coaches/1627876
201168,Mon Aug 09 2021 04:49:13 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:45 GMT-0600 (Mountain Daylight Time),201168,Tiago Splitter,Assistant Coach for Player Development,12,1610612751,nba/coaches/201168
203550,Mon Aug 09 2021 04:49:15 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:46 GMT-0600 (Mountain Daylight Time),203550,Sebastien Poirier,Trainer,3,1610612751,nba/coaches/203550
202435,Mon Aug 09 2021 04:49:16 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:08 GMT-0600 (Mountain Daylight Time),202435,James Borrego,Head Coach,1,1610612766,nba/coaches/202435
201765,Mon Aug 09 2021 04:49:12 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:49:13 GMT-0600 (Mountain Daylight Time),201765,Nate Bjorkgren,Head Coach,1,1610612754,nba/coaches/201765
2472,Mon Aug 09 2021 04:49:17 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:09 GMT-0600 (Mountain Daylight Time),2472,Jay Triano,Assistant Coach,2,1610612766,nba/coaches/2472
101278,Mon Aug 09 2021 04:49:19 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:11 GMT-0600 (Mountain Daylight Time),101278,Joe Sharpe,Trainer,3,1610612766,nba/coaches/101278
1627310,Mon Aug 09 2021 04:49:20 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:32 GMT-0600 (Mountain Daylight Time),1627310,Billy Donovan,Head Coach,1,1610612741,nba/coaches/1627310
2511,Mon Aug 09 2021 04:49:22 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:34 GMT-0600 (Mountain Daylight Time),2511,Mike Wilhelm,Assistant Coach,2,1610612741,nba/coaches/2511
202743,Mon Aug 09 2021 04:49:23 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:35 GMT-0600 (Mountain Daylight Time),202743,John Bryant,Assistant Coach,2,1610612741,nba/coaches/202743
1627604,Mon Aug 09 2021 04:49:20 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:37 GMT-0600 (Mountain Daylight Time),1627604,Chris Fleming,Assistant Coach,2,1610612741,nba/coaches/1627604
2394,Mon Aug 09 2021 04:49:28 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:38 GMT-0600 (Mountain Daylight Time),2394,Pete Myers,Assistant Coach,2,1610612741,nba/coaches/2394
2794,Mon Aug 09 2021 04:49:32 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:59 GMT-0600 (Mountain Daylight Time),2794,JB Bickerstaff,Head Coach,1,1610612739,nba/coaches/2794
1629710,Mon Aug 09 2021 04:50:02 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:00 GMT-0600 (Mountain Daylight Time),1629710,Lindsay Gottlieb,Assistant Coach,2,1610612739,nba/coaches/1629710
204238,Mon Aug 09 2021 04:49:35 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:01 GMT-0600 (Mountain Daylight Time),204238,Antonio Lang,Assistant Coach,2,1610612739,nba/coaches/204238
202565,Mon Aug 09 2021 04:50:03 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:03 GMT-0600 (Mountain Daylight Time),202565,Mike Gerrity,Assistant Coach,2,1610612739,nba/coaches/202565
203811,Mon Aug 09 2021 04:49:33 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:04 GMT-0600 (Mountain Daylight Time),203811,Greg Buckner,Assistant Coach,2,1610612739,nba/coaches/203811
1628785,Mon Aug 09 2021 04:49:37 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:28 GMT-0600 (Mountain Daylight Time),1628785,Zach Guthrie,Assistant Coach,2,1610612742,nba/coaches/1628785
2868,Mon Aug 09 2021 04:49:38 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:29 GMT-0600 (Mountain Daylight Time),2868,Casey Smith,Trainer,3,1610612742,nba/coaches/2868
2871,Mon Aug 09 2021 04:49:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:30 GMT-0600 (Mountain Daylight Time),2871,Dionne Calhoun,Assistant Trainer,4,1610612742,nba/coaches/2871
2610,Mon Aug 09 2021 04:49:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:49 GMT-0600 (Mountain Daylight Time),2610,Michael Malone,Head Coach,1,1610612743,nba/coaches/2610
203600,Mon Aug 09 2021 04:50:06 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:50 GMT-0600 (Mountain Daylight Time),203600,David Adelman,Assistant Coach,2,1610612743,nba/coaches/203600
203391,Mon Aug 09 2021 04:49:14 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:51 GMT-0600 (Mountain Daylight Time),203391,Ryan Bowen,Assistant Coach,2,1610612743,nba/coaches/203391
203759,Mon Aug 09 2021 04:49:18 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:52 GMT-0600 (Mountain Daylight Time),203759,Jordi Fernandez,Assistant Coach,2,1610612743,nba/coaches/203759
203165,Mon Aug 09 2021 04:50:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:55 GMT-0600 (Mountain Daylight Time),203165,Bob Weiss,Assistant Coach,2,1610612743,nba/coaches/203165
