id,createdAt,updatedAt,primary,secondary
1,Mon Aug 09 2021 04:08:16 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:16 GMT-0600 (Mountain Daylight Time),#002D62,#FDBB30
2,Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),#0C2340,#236192
3,Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),#CE1141,#000000
4,Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),#CE1141,#000000
6,Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:17 GMT-0600 (Mountain Daylight Time),#C4CED4,#000000
7,Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),#5A2D81,#63727A
8,Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),#002B5C,#F9A01B
9,Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),#98002E,#000000
10,Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),#E03A3E,#000000
11,Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:18 GMT-0600 (Mountain Daylight Time),#1D1160,#E56020
12,Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),#5D76A9,#12173F
13,Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),#00471B,#EEE1C6
14,Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),#007AC1,#EF3B24
15,Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),#006BB6,#D50032
16,Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),#006BB6,#F58426
17,Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:19 GMT-0600 (Mountain Daylight Time),#0C2340,#C8102E
18,Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),#C8102E,#1D428A
19,Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),#552583,#FDB927
20,Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),#0077C0,#C4CED4
21,Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),#1D428A,#FFC72C
22,Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:20 GMT-0600 (Mountain Daylight Time),#0E2240,#FEC524
23,Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),#C8102E,#1D42BA
24,Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),#CE1141,#000000
25,Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),#00538C,#B8C4CA
26,Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),#000000,#FFFFFF
27,Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),#E03A3E,#C1D32F
28,Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:21 GMT-0600 (Mountain Daylight Time),#007A33,#BA9653
29,Mon Aug 09 2021 04:08:22 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:22 GMT-0600 (Mountain Daylight Time),#860038,#041E42
30,Mon Aug 09 2021 04:08:22 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:22 GMT-0600 (Mountain Daylight Time),#1D1160,#00788C
5,Mon Aug 09 2021 04:08:22 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:08:22 GMT-0600 (Mountain Daylight Time),#002B5C,#E31837
